2025-08-22 16:22:35 [    INFO] test_part1_core_automation.py:103:  Filter Status: PASSED
2025-08-22 16:22:35 [    INFO] test_part1_core_automation.py:156:  Extracting and consolidating flight data...
2025-08-22 16:22:35 [    INFO] test_part1_core_automation.py:217:  Consolidation complete: 2 flights meet all criteria
2025-08-22 16:22:35 [    INFO] test_part1_core_automation.py:218:  Airlines found: IndiGo
2025-08-22 16:22:35 [    INFO] test_part1_core_automation.py:219:  Price range: ₹3,840 - ₹5,448
2025-08-22 16:22:35 [    INFO] test_part1_core_automation.py:241:  Saving data to Excel file 
2025-08-22 16:22:35 [    INFO] test_part1_core_automation.py:362:  Excel file saved successfully: Part1_Core_Automation_Pytest_Results_20250822_162235.xlsx
2025-08-22 16:22:35 [    INFO] test_part1_core_automation.py:363:  Data format: Assignment compliant (Airline Name, Price, Airport Codes)
2025-08-22 16:22:35 [    INFO] test_part1_core_automation.py:364:  Consolidation: Grouped by airline, sorted by price
2025-08-22 16:22:35 [    INFO] test_part1_core_automation.py:130:  SUCCESS: PART 1 AUTOMATION COMPLETED SUCCESSFULLY!
2025-08-22 16:22:35 [    INFO] test_part1_core_automation.py:131:  Total flights found: 60
2025-08-22 16:22:35 [    INFO] test_part1_core_automation.py:132:  Filtered flights (meeting criteria): 2
2025-08-22 16:22:36 [    INFO] test_part1_core_automation.py:133:  Excel report: Part1_Core_Automation_Pytest_Results_20250822_162235.xlsx
2025-08-22 16:22:36 [    INFO] test_part1_core_automation.py:138:  Airlines found: 1
2025-08-22 16:22:36 [    INFO] test_part1_core_automation.py:139:  Price range found: ₹3,840 - ₹5,448
2025-08-22 16:22:36 [    INFO] test_part1_core_automation.py:150:  PART 1 PYTEST TEST COMPLETED SUCCESSFULLY!
